seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
84000.0,184.0,88.0,2.02,-2.31,42.7,4.95,1.0,-71.7,-53.6,9.53,8.09,18.1,17.8,17.6,17.0,sae_analysis/out/env_imgs/seed84003_step184_timestep11_actionInput.png,sae_analysis/out/env_imgs/seed84003_step184_timestep11_actionOutput.png
84000.0,184.0,98.0,2.01,-2.31,42.7,4.95,1.0,278.0,-22.1,21.8,25.1,15.6,15.7,15.3,15.3,sae_analysis/out/env_imgs/seed84003_step184_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed84003_step184_timestep1_actionOutput.png
86200.0,88.0,91.0,1.96,16.3,61.3,5.78,8.0,217.0,-97.2,7.67,5.62,15.3,16.0,18.1,18.6,sae_analysis/out/env_imgs/seed86172_step88_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed86172_step88_timestep8_actionOutput.png
84000.0,184.0,99.0,1.95,-2.31,42.7,4.95,1.0,-22.1,-25.7,25.1,24.7,15.7,16.2,15.3,15.9,sae_analysis/out/env_imgs/seed84003_step184_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed84003_step184_timestep0_actionOutput.png
86200.0,88.0,97.0,1.92,16.3,61.3,5.78,8.0,-198.0,135.0,13.7,12.3,15.3,15.6,17.6,17.8,sae_analysis/out/env_imgs/seed86172_step88_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed86172_step88_timestep2_actionOutput.png
84000.0,184.0,97.0,1.91,-2.31,42.7,4.95,1.0,319.0,278.0,19.4,21.8,15.5,15.6,15.4,15.3,sae_analysis/out/env_imgs/seed84003_step184_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed84003_step184_timestep2_actionOutput.png
84000.0,184.0,95.0,1.89,-2.31,42.7,4.95,1.0,10.2,-7.99,20.1,19.1,16.4,15.1,15.9,15.2,sae_analysis/out/env_imgs/seed84003_step184_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed84003_step184_timestep4_actionOutput.png
84100.0,128.0,94.0,1.87,-7.22,37.8,5.44,1.0,-120.0,-129.0,32.1,29.3,16.7,16.7,14.6,14.5,sae_analysis/out/env_imgs/seed84098_step128_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed84098_step128_timestep5_actionOutput.png
54200.0,136.0,98.0,1.85,-3.63,41.4,2.59,1.0,-0.155,-40.3,14.0,11.6,12.4,12.0,9.97,9.5,sae_analysis/out/env_imgs/seed54206_step136_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed54206_step136_timestep1_actionOutput.png
86200.0,88.0,98.0,1.84,16.3,61.3,5.78,8.0,135.0,-253.0,12.3,11.6,15.6,15.4,17.8,17.9,sae_analysis/out/env_imgs/seed86172_step88_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed86172_step88_timestep1_actionOutput.png
86200.0,88.0,87.0,1.82,16.3,61.3,5.78,8.0,119.0,245.0,21.6,14.4,17.8,17.8,20.1,20.2,sae_analysis/out/env_imgs/seed86172_step88_timestep12_actionInput.png,sae_analysis/out/env_imgs/seed86172_step88_timestep12_actionOutput.png
86200.0,88.0,88.0,1.81,16.3,61.3,5.78,8.0,245.0,275.0,14.4,7.07,17.8,16.8,20.2,19.0,sae_analysis/out/env_imgs/seed86172_step88_timestep11_actionInput.png,sae_analysis/out/env_imgs/seed86172_step88_timestep11_actionOutput.png
84100.0,128.0,92.0,1.79,-7.22,37.8,5.44,1.0,-17.6,-130.0,43.0,33.8,15.1,16.3,13.7,14.7,sae_analysis/out/env_imgs/seed84098_step128_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed84098_step128_timestep7_actionOutput.png
84100.0,128.0,98.0,1.76,-7.22,37.8,5.44,1.0,245.0,-63.7,30.7,31.4,16.1,16.2,13.9,13.7,sae_analysis/out/env_imgs/seed84098_step128_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed84098_step128_timestep1_actionOutput.png
86200.0,88.0,90.0,1.75,16.3,61.3,5.78,8.0,-70.3,217.0,8.89,7.67,15.4,15.3,18.3,18.1,sae_analysis/out/env_imgs/seed86172_step88_timestep9_actionInput.png,sae_analysis/out/env_imgs/seed86172_step88_timestep9_actionOutput.png
86200.0,88.0,74.0,1.74,16.3,61.3,5.78,8.0,294.0,-29.4,15.5,9.96,22.3,20.8,23.1,21.7,sae_analysis/out/env_imgs/seed86172_step88_timestep25_actionInput.png,sae_analysis/out/env_imgs/seed86172_step88_timestep25_actionOutput.png
